TSLA
LU
PLTR
PLUG
F
BAC
AMD
AMZN
AAPL
CCL
SE
RIVN
NIO
NVDA
SOFI
MARA
SNAP
PFE
INTC
NU
AAL
DNA
LCID
TME
UBER
GOOGL
MPW
T
WBD
KEY
RKLB
VALE
RUN
NCLH
DKNG
C
MSFT
AFRM
RIOT
GRAB
LYFT
ONON
GM
BABA
M
CSCO
AGNC
U
GOOG
HBAN
PCG
CMCSA
WFC
XOM
JD
SWN
VZ
META
SQ
GOLD
PBR
PARA
NEM
TOST
PYPL
KVUE
ITUB
KGC
CVNA
XPEV
SCHW
CSX
TECK
BBD
SHOP
STNE
BKR
TSM
NYCB
NEE
CLVT
AI
DIS
CNHI
UPST
FHN
RLX
LYG
BCS
RIG
RBLX
NI
HMY
BRFS
MO
MS
CFLT
KMI
FCX
USB
