TSLA
PLUG
PLTR
TWNK
AMD
RIVN
NVDA
SOFI
AAPL
AMZN
NIO
MARA
F
DNA
LCID
LIFW
U
RLX
BAC
PFE
STNE
UBER
AAL
GRAB
INTC
