Symbol  Name  Price(Intraday)  Change%  Change  Volume  AvgVol(3 month)  Market Cap  PERatio(TTM)  52WeekRange
TSLA  Tesla, Inc.  224.90  +10.25  +4.78%  113.735M  118.951M  714.78B  72.77	
PLUG	Plug Power Inc.  3.5650  +0.0350  +0.9915%  60.600M  23.643M  2.162B  N/A	
PLTR  Palantir  Technologies Inc.  19.82  +0.15  +0.74%  53.729M  57.049M  43.106B  283.00	
AFRM	Affirm Holdings, Inc.	23.00	+0.57	+2.54%	7.739M	15.297M	6.94B	N/A	
KVUE	Kenvue Inc.	19.03	-0.12	-0.64%	7.722M	43.707M	36.431B	33.97	
CSCO	Cisco Systems, Inc.	52.23	-0.36	-0.68%	7.699M	17.042M	211.56B	17.01	
BTE	Baytex Energy Corp.	3.9525	-0.1075	-2.65%	7.487M	8.264M	3.341B	4.49	
BCS	Barclays PLC	6.71	-0.00	-0.00%	7.489M	10.069M	25.364B	4.04	
WFC	Wells Fargo & Company	40.76	-0.12	-0.27%	7.453M	15.409M	148.044B	8.90	
LTHM	Livent Corporation	12.81	-0.94	-6.62%	7.462M	3.608M	2.303B	7.12	
CMCSA	Comcast Corporation	41.42	-0.49	-1.18%	7.371M	18.771M	166.699B	11.54	
KEY	KeyCorp	10.85	-0.10	-0.96%	7.342M	14.572M	10.154B	8.82	
VALE	Vale S.A.	14.51	-0.10	-0.58%	7.339M	21.212M	62.348B	6.90	
IONQ	IonQ, Inc.	11.68	+1.02	+9.58%	7.277M	11.415M	2.391B	N/A	
ITUB	Itaú Unibanco Holding S.A.	5.97	-0.07	-1.08%	7.198M	16.317M	58.572B	9.19	
DIDIY	DiDi Global Inc.	3.7200	+0.2300	+6.59%	7.199M	3.902M	17.88B	N/A	
PBR	Petróleo Brasileiro S.A. - Petrobras	15.55	+0.32	+2.13%	7.413M	19.57M	101.006B	3.03	
BSX	Boston Scientific Corporation	54.20	+2.64	+5.12%	7.177M	8.431M	79.402B	66.10	
TSM	Taiwan Semiconductor Manufacturing Company Limited	96.80	-0.64	-0.66%	7.104M	8.884M	502.044B	17.19	
ERIC	Telefonaktiebolaget LM Ericsson (publ)	4.5901	-0.0299	-0.65%	6.943M	9.085M	15.489B	N/A	
BAX	Baxter International Inc.	33.95	+1.13	+3.44%	6.931M	4.886M	17.226B	73.82	
AGNC	AGNC Investment Corp.	8.40	+0.01	+0.06%	6.911M	15.554M	5.641B	17.51	
NVO	Novo Nordisk A/S	101.66	+0.47	+0.46%	6.826M	4.471M	453.593B	42.36	
PYPL	PayPal Holdings, Inc.	54.29	-0.48	-0.87%	6.658M	14.944M	58.538B	16.21	
TEVA	Teva Pharmaceutical Industries Limited	8.82	+0.14	+1.67%	6.575M	8.279M	10.246B	N/A	
WBA	Walgreens Boots Alliance, Inc.	20.07	-0.21	-1.02%	6.555M	12.426M	17.343B	N/A	
ENB	Enbridge Inc.	33.81	+0.41	+1.24%	6.511M	6.029M	71.866B	31.02	
SNAP	Snap Inc.	11.34	+0.02	+0.13%	6.503M	23.329M	18.654B	N/A	
RBLX	Roblox Corporation	38.61	+0.19	+0.49%	6.484M	10.602M	24.079B	N/A	
NOK	Nokia Oyj	3.4850	-0.0050	-0.1433%	6.465M	17.66M	19.243B	4.70	
SE	Sea Limited	46.06	+0.58	+1.28%	6.469M	8.296M	26.194B	102.34	
RUN	Sunrun Inc.	9.24	-0.20	-1.91%	6.441M	11.118M	2.013B	N/A	
UEC	Uranium Energy Corp.	5.95	+0.32	+5.59%	6.307M	8.279M	2.294B	N/A	
NYCB	New York Community Bancorp, Inc.	9.02	-0.28	-3.01%	6.179M	8.986M	6.517B	2.31	
MU	Micron Technology, Inc.	75.07	-0.29	-0.38%	6.161M	13.175M	82.451B	N/A	
MRO	Marathon Oil Corporation	25.00	-0.09	-0.34%	6.155M	10.388M	14.634B	9.09	
BMY	Bristol-Myers Squibb Company	50.24	-0.38	-0.76%	6.180M	12.228M	102.226B	12.75	
NEM	Newmont Corporation	34.31	+0.11	+0.32%	6.144M	12.611M	39.525B	N/A	
NMR	Nomura Holdings, Inc.	4.0300	-0.0100	-0.25%	6.075M	6.069M	12.147B	14.39	
KMI	Kinder Morgan, Inc.	16.51	+0.07	+0.43%	6.058M	13.392M	36.698B	15.15	
TOST	Toast, Inc.	13.92	-0.19	-1.33%	6.007M	7.749M	7.517B	N/A	
KO	The Coca-Cola Company	56.94	+0.22	+0.39%	6.001M	14.494M	246.17B	23.05	
TME	Tencent Music Entertainment Group	7.39	+0.03	+0.34%	5.912M	7.341M	12.714B	18.47	
SCHW	The Charles Schwab Corporation	54.10	-0.31	-0.57%	5.913M	9.848M	98.656B	18.04	
SQ	Block, Inc.	52.10	+0.60	+1.16%	5.916M	12.694M	31.976B	N/A	
JD	JD.com, Inc.	25.79	+0.02	+0.10%	5.891M	10.625M	40.552B	13.79	
HBAN	Huntington Bancshares Incorporated	10.22	-0.05	-0.49%	5.85M	14.001M	14.792B	6.76	
NXE	NexGen Energy Ltd.	6.11	+0.12	+1.92%	5.838M	4.815M	3.188B	N/A	
IBRX	ImmunityBio, Inc.	3.5101	+0.4001	+12.8650%	5.761M	4.982M	2.349B	N/A	
CPNG	Coupang, Inc.	15.35	+0.03	+0.16%	5.719M	6.741M	27.398B	63.85	
