Date,Open,High,Low,Close,Adj Close,Volume
2022-11-15,34.439998626708984,35.73500061035156,33.91999816894531,35.150001525878906,35.150001525878906,19268200
2022-11-16,34.35499954223633,34.4900016784668,32.849998474121094,33.31999969482422,33.31999969482422,10069200
2022-11-17,32.2400016784668,32.755001068115234,31.709999084472656,32.06999969482422,32.06999969482422,7890900
2022-11-18,32.650001525878906,32.689998626708984,29.809999465942383,30.34000015258789,30.34000015258789,13130200
2022-11-21,29.68000030517578,30.149999618530273,28.399999618530273,28.420000076293945,28.420000076293945,13508600
2022-11-22,28.579999923706055,29.469999313354492,27.850000381469727,28.940000534057617,28.940000534057617,10770200
2022-11-23,29.270000457763672,30.18000030517578,28.950000762939453,29.709999084472656,29.709999084472656,9511300
2022-11-25,29.639999389648438,29.639999389648438,29.100000381469727,29.530000686645508,29.530000686645508,3907600
2022-11-28,29.100000381469727,29.559999465942383,28.579999923706055,28.639999389648438,28.639999389648438,7746900
2022-11-29,29.149999618530273,29.489999771118164,28.665000915527344,28.850000381469727,28.850000381469727,6705700
2022-11-30,29.049999237060547,32.22999954223633,29.020000457763672,32.040000915527344,32.040000915527344,18375900
2022-12-01,31.96500015258789,32.599998474121094,30.299999237060547,31.479999542236328,31.479999542236328,12056800
2022-12-02,30.6299991607666,31.600000381469727,30.25,31.360000610351562,31.360000610351562,8879100
2022-12-05,31.010000228881836,31.344999313354492,29.434999465942383,29.530000686645508,29.530000686645508,7560400
2022-12-06,29.5,29.540000915527344,27.424999237060547,27.889999389648438,27.889999389648438,13170700
2022-12-07,27.75,28.226999282836914,27.270000457763672,27.940000534057617,27.940000534057617,8877300
2022-12-08,28.260000228881836,28.639999389648438,27.59000015258789,28.579999923706055,28.579999923706055,9582500
2022-12-09,28.350000381469727,29.274999618530273,27.2450008392334,27.290000915527344,27.290000915527344,11334500
2022-12-12,26.75,26.899999618530273,25.520000457763672,25.610000610351562,25.610000610351562,19596900
2022-12-13,27.200000762939453,27.959999084472656,24.6299991607666,24.959999084472656,24.959999084472656,20597300
2022-12-14,24.920000076293945,25.579999923706055,24.43000030517578,24.540000915527344,24.540000915527344,14213100
2022-12-15,24.030000686645508,25.059999465942383,23.860000610351562,23.969999313354492,23.969999313354492,13296000
2022-12-16,23.889999389648438,24.309999465942383,22.299999237060547,22.479999542236328,22.479999542236328,58554600
2022-12-19,22.530000686645508,22.739999771118164,21.850000381469727,22.030000686645508,22.030000686645508,18825200
2022-12-20,21.850000381469727,22.459999084472656,21.290000915527344,21.399999618530273,21.399999618530273,15114700
2022-12-21,21.575000762939453,21.610000610351562,20.729999542236328,21.030000686645508,21.030000686645508,13435000
2022-12-22,20.65999984741211,20.809999465942383,18.920000076293945,19.729999542236328,19.729999542236328,24271200
2022-12-23,19.764999389648438,19.770000457763672,18.52199935913086,19.139999389648438,19.139999389648438,18952000
2022-12-27,18.649999618530273,18.700000762939453,17.649999618530273,17.739999771118164,17.739999771118164,21663000
2022-12-28,17.75,18.260000228881836,17.450000762939453,17.739999771118164,17.739999771118164,20967700
2022-12-29,18.389999389648438,19.024999618530273,18.139999389648438,18.729999542236328,18.729999542236328,22063000
2022-12-30,18.25,18.577999114990234,17.915000915527344,18.43000030517578,18.43000030517578,17181800
2023-01-03,18.899999618530273,18.989999771118164,17.079999923706055,17.34000015258789,17.34000015258789,25993900
2023-01-04,17.200000762939453,18.059999465942383,16.559999465942383,17.709999084472656,17.709999084472656,28730200
2023-01-05,17.350000381469727,17.3799991607666,16.530000686645508,16.559999465942383,16.559999465942383,24201200
2023-01-06,16.09000015258789,16.655000686645508,15.84000015258789,16.399999618530273,16.399999618530273,22022300
2023-01-09,16.6200008392334,17.200000762939453,16.469999313354492,16.6200008392334,16.6200008392334,21572200
